pH;System;Replicate;His101 protonation fraction
4;[4Fe-4S]2+;1;1
4.2;[4Fe-4S]2+;1;1
4.4;[4Fe-4S]2+;1;1
4.6;[4Fe-4S]2+;1;1
4.8;[4Fe-4S]2+;1;1
5;[4Fe-4S]2+;1;1
5.2;[4Fe-4S]2+;1;1
5.4;[4Fe-4S]2+;1;1
5.6;[4Fe-4S]2+;1;1
5.8;[4Fe-4S]2+;1;1
6;[4Fe-4S]2+;1;1
6.2;[4Fe-4S]2+;1;1
6.4;[4Fe-4S]2+;1;1
6.6;[4Fe-4S]2+;1;1
6.8;[4Fe-4S]2+;1;0.999
7;[4Fe-4S]2+;1;1
7.2;[4Fe-4S]2+;1;0.999
7.4;[4Fe-4S]2+;1;0.999
7.6;[4Fe-4S]2+;1;0.999
7.8;[4Fe-4S]2+;1;0.999
8;[4Fe-4S]2+;1;0.996
8.1;[4Fe-4S]2+;1;0.932
8.2;[4Fe-4S]2+;1;1
8.3;[4Fe-4S]2+;1;0.988
8.4;[4Fe-4S]2+;1;0.844
8.5;[4Fe-4S]2+;1;0.509
8.6;[4Fe-4S]2+;1;0.973
8.7;[4Fe-4S]2+;1;0.455
8.8;[4Fe-4S]2+;1;0.442
9;[4Fe-4S]2+;1;0.921
9.2;[4Fe-4S]2+;1;0.842
9.4;[4Fe-4S]2+;1;0.209
9.6;[4Fe-4S]2+;1;0.16
9.8;[4Fe-4S]2+;1;0.108
10;[4Fe-4S]2+;1;0.014
10.2;[4Fe-4S]2+;1;0.008
10.4;[4Fe-4S]2+;1;0.002
10.6;[4Fe-4S]2+;1;0.001
10.8;[4Fe-4S]2+;1;0.001
11;[4Fe-4S]2+;1;0.003
11.2;[4Fe-4S]2+;1;0.002
11.4;[4Fe-4S]2+;1;0
11.6;[4Fe-4S]2+;1;0
11.8;[4Fe-4S]2+;1;0.007
12;[4Fe-4S]2+;1;0.002
12.2;[4Fe-4S]2+;1;0
12.4;[4Fe-4S]2+;1;0
12.6;[4Fe-4S]2+;1;0
12.8;[4Fe-4S]2+;1;0.003
4;[4Fe-4S]2+;2;1
4.2;[4Fe-4S]2+;2;1
4.4;[4Fe-4S]2+;2;1
4.6;[4Fe-4S]2+;2;1
4.8;[4Fe-4S]2+;2;1
5;[4Fe-4S]2+;2;1
5.2;[4Fe-4S]2+;2;1
5.4;[4Fe-4S]2+;2;1
5.6;[4Fe-4S]2+;2;1
5.8;[4Fe-4S]2+;2;1
6;[4Fe-4S]2+;2;1
6.2;[4Fe-4S]2+;2;1
6.4;[4Fe-4S]2+;2;1
6.6;[4Fe-4S]2+;2;1
6.8;[4Fe-4S]2+;2;0.999
7;[4Fe-4S]2+;2;1
7.2;[4Fe-4S]2+;2;0.999
7.4;[4Fe-4S]2+;2;0.999
7.6;[4Fe-4S]2+;2;0.999
7.8;[4Fe-4S]2+;2;0.999
8;[4Fe-4S]2+;2;0.996
8.1;[4Fe-4S]2+;2;0.995
8.2;[4Fe-4S]2+;2;0.991
8.3;[4Fe-4S]2+;2;0.999
8.4;[4Fe-4S]2+;2;0.999
8.5;[4Fe-4S]2+;2;0.993
8.6;[4Fe-4S]2+;2;0.532
8.7;[4Fe-4S]2+;2;0.062
8.8;[4Fe-4S]2+;2;0.015
9;[4Fe-4S]2+;2;0.118
9.2;[4Fe-4S]2+;2;0.018
9.4;[4Fe-4S]2+;2;0.008
9.6;[4Fe-4S]2+;2;0
9.8;[4Fe-4S]2+;2;0
10;[4Fe-4S]2+;2;0
10.2;[4Fe-4S]2+;2;0
10.4;[4Fe-4S]2+;2;0
10.6;[4Fe-4S]2+;2;0
10.8;[4Fe-4S]2+;2;0
11;[4Fe-4S]2+;2;0
11.2;[4Fe-4S]2+;2;0
11.4;[4Fe-4S]2+;2;0
11.6;[4Fe-4S]2+;2;0
11.8;[4Fe-4S]2+;2;0
12;[4Fe-4S]2+;2;0
12.2;[4Fe-4S]2+;2;0
12.4;[4Fe-4S]2+;2;0
12.6;[4Fe-4S]2+;2;0
12.8;[4Fe-4S]2+;2;0
4;[3Fe-4S]+;1;1
4.2;[3Fe-4S]+;1;1
4.4;[3Fe-4S]+;1;1
4.6;[3Fe-4S]+;1;1
4.8;[3Fe-4S]+;1;1
5;[3Fe-4S]+;1;1
5.2;[3Fe-4S]+;1;1
5.4;[3Fe-4S]+;1;1
5.6;[3Fe-4S]+;1;0.999
5.8;[3Fe-4S]+;1;0.999
6;[3Fe-4S]+;1;0.999
6.2;[3Fe-4S]+;1;0.999
6.4;[3Fe-4S]+;1;0.992
6.6;[3Fe-4S]+;1;0.998
6.8;[3Fe-4S]+;1;0.998
7;[3Fe-4S]+;1;0.997
7.2;[3Fe-4S]+;1;0.997
7.4;[3Fe-4S]+;1;0.989
7.6;[3Fe-4S]+;1;0.934
7.8;[3Fe-4S]+;1;0.944
8;[3Fe-4S]+;1;0.935
8.1;[3Fe-4S]+;1;0.997
8.2;[3Fe-4S]+;1;0.988
8.3;[3Fe-4S]+;1;0.615
8.4;[3Fe-4S]+;1;0.002
8.5;[3Fe-4S]+;1;0.001
8.6;[3Fe-4S]+;1;0.005
8.7;[3Fe-4S]+;1;0.017
