Emission wavelength (nm);0 degrees;30 degrees;40 degrees;50 degrees;60 degrees
305;65.4083;61.2873;44.2325;26.5735;22.8988
306;73.5655;68.2616;48.6031;29.059;24.182
307;81.9837;75.4934;53.3018;30.5664;25.5785
308;91.0852;84.0573;57.4924;33.3348;27.7639
309;100.12;93.2823;63.6754;36.0865;29.715
310;110.089;101.231;68.7498;38.6054;31.7081
311;119.599;110.939;74.193;42.0019;33.8869
312;129.997;120.061;80.5988;44.7823;36.4815
313;139.57;129.282;86.5299;47.8281;38.2456
314;150.195;137.387;91.7071;51.1372;41.0754
315;159.889;145.953;98.2469;53.4341;42.5515
316;169.205;153.83;104.636;57.1386;44.3763
317;179.232;162.026;110.602;59.3758;45.8681
318;188.22;169.771;115.601;62.2347;47.5366
319;196.42;177.274;121.25;64.8654;48.4395
320;205.622;184.908;125.639;67.7429;51.1571
321;213.967;190.979;129.802;71.2558;53.4166
322;221.271;198.329;133.864;73.7288;55.8636
323;228.995;205.115;138.088;76.8568;58.7077
324;235.285;210.84;143.031;79.3231;60.7552
325;241.874;216.493;148.544;82.4362;62.9954
326;248.085;220.272;151.48;83.9636;63.9903
327;252.472;225.102;153.679;86.0334;66.1792
328;258.749;230.525;155.451;87.7406;67.2513
329;264.179;233.53;158.723;91.1666;68.8231
330;266.22;236.725;160.97;92.6399;71.2261
331;271.215;241.382;164.116;95.894;72.8964
332;273.502;244.089;165.518;97.908;75.1415
333;275.905;245.588;167.055;97.5861;75.5043
334;278.324;246.358;169.66;99.3046;76.9867
335;279.517;245.733;169.285;100.269;77.0973
336;279.989;246.954;168.846;100.318;77.6255
337;280.455;245.925;169.741;100.407;78.885
338;278.161;246;169.491;100.864;79.7456
339;276.307;245.149;169.949;101.794;81.205
340;276.512;246.116;168.512;101.867;80.9609
341;274.588;245.366;169.263;102.01;80.6146
342;273;242.73;168.799;102.778;80.7477
343;269.967;241.707;168.396;102.427;80.1957
344;266.632;239.105;166.726;101.581;80.1213
345;263.092;235.525;165.626;100.881;79.0509
346;261.066;232.847;162.04;98.955;78.756
347;255.646;229.355;157.675;97.6308;78.1514
348;253.903;225.323;154.554;96.7317;78.2038
349;249.515;220.914;150.938;96.0818;76.6126
350;244.809;218.842;150.058;95.3657;75.8536
351;240.309;216.171;146.632;94.5128;74.5492
352;235.807;210.978;145.349;92.2418;74.4957
353;231.16;206.119;142.432;90.6745;74.018
354;226.835;201.347;139.043;89.4691;71.5043
355;221.609;195.75;137.796;88.8422;70.4919
356;216.196;190.848;135.076;86.4409;69.33
357;211.908;186.13;132.633;83.9651;68.3191
358;206.131;182.252;128.684;83.0552;67.5657
359;201.395;177.153;125.158;81.1085;66.7873
360;196.48;173.607;121.688;79.2322;64.3635
361;181.475;160.999;112.907;75.1439;58.269
362;176.766;156.023;110.294;72.7334;57.8337
363;171.324;150.045;107.576;71.8619;57.24
364;166.256;145.635;102.992;70.9755;56.5958
365;161.473;141.041;100.755;69.423;56.3839
366;156.085;137.721;97.4545;67.3146;54.0699
367;151.752;133.217;94.6987;65.3981;52.668
368;146.116;128.205;91.7474;63.5063;51.4933
369;142.04;124.741;89.4969;62.1758;49.871
370;137.36;120.719;87.5322;60.8409;48.2971
371;132.054;116.043;83.8935;58.9406;46.9222
372;128.949;111.626;82.1056;57.3701;46.4161
373;123.512;107.847;79.3495;55.7024;44.7546
374;119.221;104.221;77.1604;53.3691;43.8077
375;115.117;100.767;75.0984;51.9261;42.3433
376;111.4;98.1048;71.5848;50.9268;41.3551
377;107.118;94.3414;68.9629;49.3871;40.3594
378;102.941;90.5989;67.2557;47.6892;39.6796
379;99.3828;86.7713;65.0889;47.0808;38.0675
380;95.519;84.9996;62.9385;45.9511;37.202
381;91.6021;81.2273;61.365;44.3898;36.3579
382;87.8545;78.4101;58.7891;43.3993;35.0197
383;85.1934;76.8973;57.0054;41.9787;33.5526
384;81.3579;73.8272;54.9809;40.1845;32.5911
385;78.0888;70.6626;52.947;38.9258;30.9547
386;75.5563;67.9587;50.9491;37.8408;30.0895
387;72.2805;65.6174;48.8668;36.81;29.5819
388;69.6208;62.7209;47.3609;35.6624;28.9584
389;66.5143;59.6958;45.3764;33.8725;27.6632
390;64.17;57.8389;43.6377;32.7355;26.2629
391;61.6651;55.1119;42.3914;31.3038;25.4495
392;59.7899;54.1168;40.752;30.0914;24.7557
393;56.9892;51.058;38.6975;29.2313;23.799
394;54.2494;49.1237;37.1466;28.5225;22.8598
395;51.9099;47.3246;35.5208;27.3689;21.9445
396;49.854;45.2127;34.2798;27.0342;21.3376
397;48.2175;43.2721;32.9921;25.9215;21.0358
398;45.8995;41.6198;31.4018;24.6655;20.5953
399;44.2194;39.4495;30.0441;24.0177;19.1588
400;42.1728;38.1991;28.7656;23.082;18.6177
