Temperature (degrees);[3Fe-4S]+ + DTT exp 1;[3Fe-4S]+ + DTT exp 2;[3Fe-4S]+ + DTT exp 3;[3Fe-4S]+ + DTT exp 4;[4Fe-4S]2++ DTT + Fe2+ exp 1;[4Fe-4S]2++ DTT + Fe2+ exp 2;[4Fe-4S]2++ DTT + Fe2+ exp 3;[4Fe-4S]2++ DTT + Fe2+ exp 4;1 mM ONOO- exp 1;1 mM ONOO- exp 2;1 mM ONOO- exp 3
20;1;1;1;1;1;1;1;1;1;1;1
22.5;0.9767;0.9763;0.981;0.9877;0.9983741;0.9658;0.9774;0.9717;0.9860;0.8916;0.9238
25;0.9637;0.9849;0.9735;0.973;1.036371;1.0018;0.9702;0.9585;0.9514;0.8232;0.8770
27.5;0.9422;0.9372;0.9589;0.9649;0.9740579;0.9765;0.9628;0.9376;0.8564;0.8732;0.7366
30;0.9245;0.9108;0.9384;0.9441;0.9681716;0.9905;0.9306;0.9240;0.8398;0.7387;0.7223
32.5;0.9052;0.8886;0.9178;0.9299;0.9718625;1.000;0.9321;0.9155;0.8035;0.7038;0.7203
35;0.888;0.8555;0.8982;0.9133;0.9608195;0.9986;0.9304;0.9096;0.7407;0.7022;0.6839
37.5;0.8556;0.8243;0.8577;0.889;0.9382679;0.9891;0.9270;0.9043;0.6569;0.6276;0.6205
40;0.7931;0.771;0.7968;0.8282;0.9020734;0.9660;0.9150;0.8926;0.5414;0.5724;0.5271
42.5;0.6495;0.6117;0.6223;0.6326;0.8354701;0.9095;0.8846;0.8530;0.4572;0.4701;0.4345
45;0.4992;0.4674;0.4895;0.4949;0.743524;0.8190;0.8165;0.7979;0.3935;0.3784;0.3511
47.5;0.4349;0.4033;0.4314;0.4558;0.6716039;0.7441;0.7292;0.6908;0.3583;0.3195;0.3049
50;0.3969;0.3656;0.3973;0.4279;0.6049973;0.6761;0.6224;0.6358;0.3352;0.2879;0.2826
52.5;0.3759;0.3452;0.3703;0.4079;0.4837928;0.5586;0.5197;0.5260;0.3207;0.2609;0.2672
55;0.3561;0.3239;0.3516;0.3758;0.3273001;0.3886;0.3500;0.3630;0.3107;0.2418;0.2427
57.5;0.3289;0.3025;0.3314;0.3695;0.251004;0.3089;0.2565;0.2612;0.3013;0.2206;0.2215
60;0.3055;0.2811;0.3175;0.3579;0.2369204;0.2975;0.2440;0.2437;0.2910;0.2045;0.2142

