[ANS]/[ACO2];[3Fe-4S]+ exp1;[3Fe-4S]+ exp2;[4Fe-4S]2+ exp1;[4Fe-4S]2+ exp2
0;1.26048;2.71444;1.19265;0.96863
5.5556;16.38278091;17.93;9.5817956;9.05565156
11.1111;27.6953157;27.12;15.6089522;15.2311788
16.6667;35.13833753;35.06;20.0178806;18.089087
22.2222;42.09200389;39.47;22.4067426;17.861545
27.7778;46.74559141;42.26;24.9433474;23.5393118
33.3333;51.06859552;45.21;25.21435;22.1050738
38.8889;56.92142052;47.65;26.3777485;20.7501764
44.4444;55.03832595;49.73;26.8179816;22.7255862
52.7778;57.83053992;56.22;26.3364392;21.0932916
63.8889;59.80707823;56.03;28.816334;23.0306311
75;63.1355963;59.21;27.353413;24.5295397
