Time (ns);[3Fe-4S]+ exp1;[3Fe-4S]+ exp2;[3Fe-4S]+ exp3;[4Fe-4S]2+ exp1;[4Fe-4S]2+ exp2;[4Fe-4S]2+ exp3;[4Fe-4S]2+ exp4;[4Fe-4S]2+ exp5;[4Fe-4S]2+ exp6
0;10006.5942;10826.7256;10688.333;9203.1831;9516.1929;9237.5913;9997.4383;10055.7356;9742.3575
0.5;10298.2938;11198.1327;10673.8527;9519.1188;9613.1702;9427.3149;10368.6821;10160.9103;9905.7647
1;10171.6582;10913.1196;10590.2601;9461.6303;9674.2121;9355.4186;10208.4816;10080.3959;9630.9085
1.5;9971.9854;11368.1282;10753.6061;9640.2825;9612.3494;9078.4561;10186.6152;9955.3723;9807.5984
2;10020.0204;10985.5348;10762.0051;9757.3531;9761.8513;9097.8413;10291.5008;10027.4234;9920.9665
2.5;10132.5324;11078.8717;10494.0518;9299.7745;10094.6599;9341.7466;10502.1733;10180.467;9836.4534
3;9830.9587;10983.5848;10802.0724;9175.0075;9423.5836;9131.4309;10346.2155;10264.9197;9709.425
3.5;9903.4635;10717.5155;10734.9362;9562.7934;9934.7401;9237.9588;10336.4702;10143.9882;9701.3292
4;9938.5663;10808.1923;10699.4235;9351.7032;9537.8337;9357.8844;9862.7051;10311.7931;9874.8564
4.5;9808.5021;10939.011;10395.3704;9362.2407;9418.3517;9518.6237;10587.6467;10136.6956;9739.6806
5;10371.3433;10946.5291;10477.1429;9427.5316;9690.996;9803.9967;10512.5884;10053.094;9632.3305
5.5;10231.5489;10559.302;10420.6976;9347.6318;9594.1546;9610.6719;10611.8501;10083.7183;9796.3877
6;10209.9256;10827.7318;10395.7234;9493.6618;9525.8521;9510.7828;10058.2196;10333.6223;9948.2213
6.5;9829.12;10789.0978;10517.9888;9566.3925;9506.1926;9457.4368;10337.9894;10025.9323;9689.3107
7;10021;10628.4526;10777.5302;9579.7793;9712.9418;9358.7732;10501.4426;10389.0339;9486.6027
7.5;10348.8379;10743.267;10695.9279;9432.8662;9658.6557;9537.8837;10299.1563;10394.9652;9822.1519
8;10180.6034;10908.8359;10781.2649;9621.4028;9583.2678;9080.0041;10187.5059;10312.7697;10082.728
8.5;10112.5481;10951.581;10697.1896;9144.545;9374.2918;9374.0695;10564.1089;10708.5687;10057.5924
9;10672.0242;11148.4354;10686.5495;9869.0091;9575.8369;9099.5128;10149.5809;10370.9969;9791.7558
9.5;10509.0546;11096.0207;10552.4386;9336.9353;9366.3455;9298.5743;10102.4426;9986.7964;10123.5286
10;10549.5302;11071.4869;10382.9171;10078.6509;9665.8111;9313.0349;10444.7379;9965.3905;9899.3154
10.5;9982.1674;10928.004;10586.1294;9510.9571;9543.9435;9715.2198;10066.0548;9832.6829;9632.5951
11;10063.338;10913.8824;10698.0681;9745.2601;9651.0555;9608.7655;10223.4458;9593.2101;9657.2259
11.5;10186.3737;11148.5726;10599.637;9865.2767;9281.9825;9215.4375;10202.3683;9864.3742;10042.2601
12;10026.9963;10883.9499;10592.5128;9743.3473;9470.3262;9387.6105;10133.1827;9818.9103;10087.813
