[3Fe-4S]+;[4Fe-4S]2+
93.3676;88.9403
92.7785;85.7295
95.1521;85.248
95.4341;85.6879
95.716;84.3674
97.2144;84.9492
98.228;87.031
95.585;85.166
96.7277;88.9774
96.9537;86.3973
97.3706;87.5117
99.4011;86.2939
99.8756;85.6172
99.9391;85.1083
97.8042;86.4097
101.5686;86.22
99.0165;85.6504
98.1837;84.5899
100.1224;84.628
100.6226;85.5733
98.0533;85.5218
101.0575;87.5636
100.8386;86.8137
98.8239;86.6374
100.3473;84.7374
101.7528;86.7192
100.6482;84.458
99.783;87.2652
96.7835;85.4367
97.7519;86.4054
97.3566;85.8331
101.0985;86.266
95.2925;85.6646
93.8785;85.0008
93.0421;86.2606
97.4436;84.7933
97.1014;85.7353
95.5574;84.9705
95.242;85.0516
96.5375;86.5502
96.1279;85.647
93.6533;88.0696
93.811;86.3582
95.4865;87.2236
93.1433;85.1276
93.9514;88.2776
93.1654;85.7529
97.0218;86.7794
91.5624;85.8205
92.9116;87.0151
94.2143;86.2973
93.1318;85.8113
96.6522;85.6565
96.2186;86.8544
96.5678;86.2909
96.5499;85.3729
94.7365;87.3835
95.2602;86.8938
96.2447;85.1462
94.5945;85.8453
93.5038;87.5014
94.7261;85.0032
91.6139;85.6992
92.3066;83.9812
93.1993;85.8296
94.8353;84.8851
95.1041;88.8682
95.8784;86.9266
96.584;85.4487
97.2602;84.4007
96.3226;88.263
94.5246;85.8536
95.3658;86.7095
95.5306;87.1074
94.2244;88.2269
94.8156;85.9642
95.1916;89.473
93.3849;86.9129
97.3954;88.386
98.1317;87.3941
98.208;92.5576
97.4551;88.9805
101.6624;86.7048
101.4357;88.1568
100.9515;87.5208
99.1941;86.9294
99.6234;88.9898
97.3761;84.5282
100.6534;88.4326
99.4926;90.2714
101.2201;88.5188
101.7593;86.5587
100.0288;88.3973
103.2325;86.8438
100.7277;89.6793
106.3716;87.3434
104.7804;90.2623
103.0268;90.1526
105.0043;87.4886
107.0081;89.6006
109.2702;89.7621
102.2646;87.3691
102.6651;89.0648
102.7849;89.5029
101.6363;89.8686
102.5191;89.2445
103.2936;87.8608
104.0926;90.4591
108.0619;87.0186
102.2819;89.0024
109.4615;88.01
107.4565;89.7875
105.8075;88.4412
102.9172;92.0941
104.7157;90.8172
107.1022;93.8002
107.3466;90.7983
103.1639;95.1157
105.86;93.5901
110.3961;92.31
109.0691;90.873
105.5984;91.0393
105.077;95.105
105.3021;93.243
103.7693;94.9316
107.2335;98.1795
109.4566;98.1883
107.3499;93.8345
106.3959;97.1455
105.1917;97.5185
106.5561;94.5409
103.336;95.5909
104.7677;95.0235
104.5019;95.7095
104.0195;92.5086
98.8176;93.0588
102.1376;94.8903
101.0752;91.4651
100.8814;95.8895
103.7713;95.8325
104.4301;95.1668
105.2741;95.5424
103.3108;96.0018
109.224;96.6037
103.4719;97.3159
103.9864;96.9904
103.4685;97.1354
106.8169;93.38
105.4409;93.8673
109.9566;98.6492
109.4795;96.749
106.1701;95.6068
103.3236;93.2398
106.8044;93.8207
106.5877;92.5249
105.1151;96.0512
105.1567;92.8834
108.8462;94.402
107.074;95.1313
105.2579;95.0583
102.9092;93.5116
106.3847;96.043
107.5262;93.9072
106.7518;95.5724
107.0918;96.1943
103.0567;95.8911
102.2231;98.367
104.6394;95.2021
105.1341;96.893
100.4605;98.8496
104.9649;99.4718
104.7868;95.0513
108.6699;97.2977
111.2501;95.6551
109.152;94.1617
106.5598;95.8478
109.9817;98.0157
107.4973;95.1883
106.9566;94.6683
108.0293;94.7523
105.07;94.0688
106.9794;94.0434
110.4718;96.4811
107.7826;95.8009
