Time (ns);[3Fe-4S]+ exp1;[3Fe-4S]+ exp2;[3Fe-4S]+ exp3;[4Fe-4S]2+ exp1;[4Fe-4S]2+ exp2;[4Fe-4S]2+ exp3;[4Fe-4S]2+ exp4;[4Fe-4S]2+ exp5;[4Fe-4S]2+ exp6
0;53.2228;105.7476;101.2357;39.2599;40.2399;4.1284;42.0636;38.5656;21.8331
0.5;46.756;88.9961;95.6348;37.9818;34.5556;-3.3567;33.5617;44.3938;28.7351
1;48.4869;85.8895;90.0512;39.7363;36.6514;2.842;46.2131;47.844;29.7426
1.5;54.8778;91.1952;86.5918;44.6358;32.7074;-3.2138;48.0183;43.7395;34.7959
2;50.555;105.984;111.8744;43.4715;29.9719;-1.7929;33.0249;37.1609;19.7515
2.5;61.8888;87.6419;109.9826;50.3543;38.6612;12.6243;32.3516;46.5449;22.5529
3;51.8679;90.9903;88.5846;54.6149;41.2524;7.7691;37.6507;50.4749;28.8189
3.5;66.2471;96.2363;81.7278;46.7593;34.7483;-0.1198;28.4723;52.8716;32.3877
4;62.1379;88.3941;98.7706;53.2988;37.6025;10.1626;41.2876;41.5979;31.9762
4.5;63.9503;84.9195;94.3234;44.9336;43.6769;9.3826;36.4412;35.3407;28.7959
5;43.4432;95.338;100.9716;48.355;41.3397;8.5793;41.8356;25.5921;33.1536
5.5;51.6123;94.2504;100.9717;46.907;50.7794;-0.6799;48.5057;30.6608;29.1519
6;55.9786;93.6812;90.8035;54.1683;32.3131;-1.6264;44.5513;34.7388;23.5032
6.5;45.3356;90.112;109.5945;48.5808;42.195;11.2315;43.4784;33.1225;26.3206
7;72.0409;95.2179;100.7019;55.0534;38.1989;9.0975;36.5847;33.0002;31.0264
7.5;45.6755;93.9996;89.7812;54.5539;45.6709;5.5673;47.7263;24.8999;32.1949
8;54.3612;85.9881;92.1592;43.0718;46.8055;-5.2571;26.7242;29.2218;29.818
8.5;58.7754;98.4587;107.6599;50.1564;38.4268;3.157;52.8671;35.727;31.9802
9;57.5257;101.8694;96.434;52.2811;30.4536;-1.085;41.3802;36.6698;25.2342
9.5;51.8175;91.4237;91.956;53.0051;37.2128;-2.1568;29.6772;26.7047;26.8833
10;65.0822;107.0821;103.2567;42.818;32.8751;1.731;42.5111;27.1733;18.2215
10.5;67.5282;98.3298;87.2984;58.536;43.4953;5.712;36.2268;38.8189;26.1007
11;41.7397;117.0883;109.4152;53.9534;34.0614;6.763;36.7259;37.1451;20.5128
11.5;56.8972;110.4331;102.9517;57.4087;35.2241;7.864;30.0865;35.9562;18.5741
12;52.6693;118.2322;93.4435;52.5566;34.3105;6.7338;52.0546;42.1603;22.3874
12.5;50.8916;106.9181;104.0408;61.81;50.1935;5.2825;46.8287;49.6591;21.6032
13;49.6143;105.4219;109.5726;58.0771;38.1138;20.7893;49.1859;45.2616;23.0549
13.5;54.2667;118.1577;90.2293;56.9896;40.9096;6.2792;54.3836;58.7512;29.392
14;62.7821;102.2932;96.7274;59.3087;40.2265;4.4238;51.7455;43.855;23.6999
14.5;48.2903;109.3916;106.4372;59.7412;37.7503;3.4132;40.4388;50.0882;25.2689
15;58.1989;112.8681;97.1254;43.2025;32.2823;-2.4075;36.5812;38.2867;29.7033
15.5;50.1024;108.6546;112.5056;47.0874;32.4068;-1.0369;37.8411;35.1468;25.9899
16;49.2;111.2206;107.9418;49.9276;45.0738;2.5464;40.3555;50.829;17.0287
16.5;53.9366;108.4046;116.4499;57.6578;42.9712;7.0883;33.9027;42.5969;26.0967
17;48.9521;122.0084;99.4527;56.2016;37.9186;9.4718;38.758;45.8441;20.7848
17.5;72.3941;114.1471;112.6764;56.3635;48.0579;10.8182;40.3292;39.2462;33.3825
18;52.1698;115.235;115.6861;55.5798;43.0369;11.9829;38.7143;48.2489;16.9224
18.5;40.7959;125.3548;123.0296;57.095;37.4108;5.4156;41.0319;32.4601;20.9309
19;52.5808;122.3648;116.7843;36.7088;34.7742;12.2582;57.9483;34.35;16.7541
19.5;57.2417;113.6665;100.5885;56.4807;47.1258;6.5663;44.9304;36.7766;29.0335
20;57.1209;128.156;121.14;56.6717;39.1872;11.737;50.8849;34.8461;22.9508
20.5;50.5183;105.2592;119.136;52.4348;47.8538;0.5874;54.9827;37.5944;32.0801
