Time (ns);ICT;CIT
0;-82.286;-111.013
1,5;-85.656;-104.342
3;-90.152;-93.756
4,5;-98.584;-98.086
6;-113.758;-103.728
7,5;-105.758;-95.098
9;-95.808;-110.199
10,5;-95.603;-102.536
12;-97.07;-111.828
13,5;-110.875;-95.306
15;-100.769;-101.109
16,5;-108.234;-96.58
18;-102.195;-94.534
19,5;-104.697;-93.527
21;-96.185;-82.532
22,5;-115.315;-75.167
24;-102.756;-70.931
25,5;-96.906;-78.971
27;-97.239;-82.646
28,5;-94.45;-91.041
30;-108.893;-87.697
31,5;-83.082;-83.614
33;-97.122;-76.136
34,5;-83.893;-78.957
36;-102.95;-85.272
37,5;-104.612;-72.109
39;-91.074;-76.534
40,5;-73.94;-76.652
42;-94.263;-84.285
43,5;-84.213;-80.348
45;-86.345;-101.164
46,5;-81.115;-87.543
48;-84.268;-71.366
49,5;-94.445;-84.803
51;-66.022;-74.034
52,5;-91.836;-84.656
54;-82.57;-95.538
55,5;-93.402;-93.058
57;-77.556;-81.755
58,5;-66.01;-96.724
60;-87.298;-73.023
61,5;-94.128;-86.998
63;-96.601;-97.877
64,5;-94.131;-81.742
66;-76.518;-70.886
67,5;-88.792;-77.851
69;-75.096;-81.088
70,5;-92.684;-70.625
72;-84.921;-63.79
73,5;-95.697;-63.932
75;-91.139;-76.622
76,5;-82.349;-73.009
78;-96.736;-66.533
79,5;-85.38;-71.763
81;-101.7;-62.271
82,5;-93.457;-67.505
84;-102.723;-66.658
85,5;-96.965;-77.759
87;-105.228;-75.279
88,5;-111.842;-66.409
90;-93.406;-78.149
91,5;-97.134;-77.521
93;-104.762;-76.437
94,5;-98.452;-77.569
96;-81.61;-69.479
97,5;-92.507;-71.304
99;-105.474;-68.59
100,5;-86.002;-66.727
102;-94.651;-75.89
103,5;-103.72;-77.831
105;-89.392;-73.218
106,5;-95.169;-78.353
108;-83.624;-70.432
109,5;-85.242;-75.131
111;-84.671;-61.442
112,5;-87.709;-68.452
114;-87.861;-70.609
115,5;-97.405;-71.776
117;-99.75;-72.043
118,5;-90.136;-77.651
120;-93.267;-77.601
121,5;-89.544;-67.961
123;-80.787;-69.881
124,5;-92.445;-77.958
126;-76.143;-75.928
127,5;-83.365;-72.775
129;-85.829;-85.835
130,5;-88.821;-70.181
132;-84.943;-65.268
133,5;-87.141;-70.769
135;-84.996;-72.488
136,5;-79.279;-69.042
138;-74.499;-69.616
139,5;-86.527;-70.577
141;-94.502;-70.739
142,5;-81.19;-78.34
144;-85.081;-61.804
145,5;-82.814;-77.198
147;-94.816;-73.078
148,5;-85.334;-63.944
150;-89.645;-73.843
151,5;-92.61;-68.535
153;-80.832;-69.847
154,5;-105.079;-77.087
156;-85.126;-60.96
157,5;-79.762;-67.911
159;-96.158;-61.376
160,5;-79.013;-59.001
162;-86.065;-62.999
163,5;-85.098;-55.775
165;-91.108;-63.638
166,5;-81.256;-58.88
168;-74.703;-60.816
169,5;-88.948;-69.548
171;-88.653;-74.699
172,5;-90.405;-53.443
174;-71.744;-53.61
175,5;-81.593;-59.435
177;-97.182;-51.948
178,5;-86.347;-51.133
180;-89.05;-60.767
181,5;-95.392;-50.302
183;-95.727;-73.089
184,5;-92.022;-56.569
186;-77.199;-67.296
187,5;-90.593;-58.796
189;-93.566;-68.752
190,5;-85.496;-65.572
192;-88.043;-61.671
193,5;-83.849;-69.55
195;-92.169;-60.457
196,5;-90.9;-63.057
198;-93.37;-56.296
199,5;-92.479;-69.402
201;-91.685;-64.2035
202,5;-100.052;-60.952
204;-95.962;-45.322
205,5;-94.691;-46.8205
207;-91.277;-40.816
208,5;-91.835;-40.9505
210;-86.854;-44.3375
211,5;-96.761;-41.2715
213;-96.999;-45.413
214,5;-84.943;-48.7535
216;-85.973;-45.08
217,5;-95.894;-40.52
219;-93.422;-39.3415
220,5;-89.107;-32.652
222;-98.824;-42.1035
223,5;-99.806;-39.9825
225;-83.023;-39.8765
226,5;-82.857;-41.526
228;-102.295;-35.6215
229,5;-92.931;-35.0595
231;-79.131;-45.117
232,5;-76.738;-28.319
234;-86.063;-36.2025
235,5;-86.278;-35.441
237;-95.664;-36.468
238,5;-98.67;-29.644
240;-90.045;-35.307
241,5;-82.25;-26.9095
243;-97.223;-27.0895
244,5;-96.442;-22.6045
246;-82.343;-28.597
247,5;-87.827;-24.178
249;-101.034;-39.7635
250,5;-83.185;-35.273
252;-91.946;-27.189
253,5;-86.82;-27.5385
255;-88.161;-30.122
256,5;-94.926;-30.8515
258;-85.829;-34.0175
259,5;-99.198;-30.3075
261;-96.324;-25.915
262,5;-98.531;-27.6785
264;-100.179;-29.411
265,5;-91.726;-33.9745
267;-91.119;-27.3045
268,5;-81.178;-47.2735
270;-98.813;-34.5
271,5;-98.699;-33.1005
273;-96.589;-25.4165
274,5;-94.025;-30.6935
276;-85.175;-39.892
277,5;-84.486;-40.3925
279;-76.679;-29.1535
280,5;-95.892;-35.6005
282;-94.958;-31.3785
283,5;-92.216;-31.195
285;-99.621;-32.569
286,5;-92.53;-29.2105
288;-96.527;-37.661
289,5;-68.286;-30.1475
291;-101.128;-32.429
292,5;-97.736;-37.477
294;-87.203;-37.8785
295,5;-92.161;-43.177
297;-99.158;-40.9305
298,5;-82.002;-36.24
300;-97.407;-36.8975
301,5;-99.336;-41.514
303;-101.951;-43.371
304,5;-93.308;-43.2495
306;-88.39;-44.3085
307,5;-90.966;-37.696
309;-102.878;-41.312
310,5;-85.342;-38.3595
312;-87.869;-30.1955
313,5;-94.777;-38.0025
315;-96.517;-36.229
316,5;-95.779;-41.299
318;-82.903;-45.141
319,5;-90.647;-35.5835
321;-89.261;-44.132
322,5;-98.544;-43.856
324;-90.21;-46.23
325,5;-89.341;-39.1605
327;-88.046;-39.553
328,5;-102.392;-34.9785
330;-88.369;-27.6655
331,5;-82.827;-32.909
333;-93.551;-34.2385
334,5;-76.606;-33.9005
336;-87.08;-31.1645
337,5;-89.54;-30.701
339;-90.131;-29.411
340,5;-98.925;-31.9815
342;-65.126;-38.442
343,5;-67.993;-36.5715
345;-78.198;-34.1235
346,5;-85.771;-35.371
348;-63.898;-40.9135
349,5;-67.925;-38.701
351;-70.803;-32.9275
352,5;-79.118;-37.4545
354;-83.085;-33.913
355,5;-83.65;-33.171
357;-82.542;-39.3905
358,5;-75.823;-28.142
360;-81.505;-35.555
361,5;-77.663;-32.0925
363;-86.981;-33.0415
364,5;-73.009;-35.137
366;-79.379;-41.182
367,5;-77.053;-34.4385
369;-81.427;-40.5695
370,5;-82.856;-43.427
372;-80.704;-28.4295
373,5;-88.149;-38.072
375;-96.425;-34.3595
376,5;-85.091;-43.435
378;-81.786;-37.502
379,5;-72.409;-33.809
381;-81.122;-30.8585
382,5;-93.463;-32.33
384;-82.268;-32.3395
385,5;-88.763;-29.9695
387;-76.487;-32.125
388,5;-74.293;-37.0775
390;-81.676;-29.245
391,5;-80.203;-33.7755
393;-83.399;-34.162
394,5;-80.337;-39.2675
396;-82.353;-41.993
397,5;-79.586;-39.045
399;-78.944;-39.433
400,5;-83.567;-44.9155
402;-76.908;-36.3235
403,5;-79.755;-42.0085
405;-75.86;-35.1875
406,5;-81.007;-32.0995
408;-79.578;-36.9555
409,5;-81.522;-42.08
411;-88.53;-37.1245
412,5;-81.301;-38.103
414;-84.852;-39.408
415,5;-89.27;-35.592
417;-85.053;-39.224
418,5;-83.162;-44.5165
420;-88.474;-43.282
421,5;-84.519;-47.1255
423;-77.828;-39.78
424,5;-84.453;-34.022
426;-65.855;-40.1275
427,5;-77.789;-34.989
429;-86.066;-31.528
430,5;-85.451;-27.9195
432;-74.004;-40.124
433,5;-84.796;-31.0125
435;-78.439;-40.0665
436,5;-79.696;-35.9035
438;-82.438;-43.662
439,5;-86.432;-42.43
441;-86.249;-38.311
442,5;-81.297;-48.5985
444;-88.945;-43.12
445,5;-86.94;-39.371
447;-81.586;-34.5615
448,5;-89.86;-37.209
450;-79.646;-42.9705
451,5;-90.137;-39.1015
453;-84.974;-35.4555
454,5;-61.168;-35.363
456;-84.651;-35.771
457,5;-90.979;-36.7315
459;-79.109;-32.323
460,5;-81.697;-37.2685
462;-77.458;-32.2
463,5;-79.462;-35.7255
465;-81.395;-35.445
466,5;-84.67;-31.004
468;-74.979;-27.206
469,5;-78.436;-33.115
471;-74.418;-29.9095
472,5;-83.593;-30.038
474;-84.009;-34.3785
475,5;-89.002;-35.9825
477;-82.742;-27.6375
478,5;-78.713;-40.5885
480;-79.474;-32.779
481,5;-80.453;-32.4215
