Time (min);Fe+2 300 然 exp1;Fe+2 300 然 exp2;FXN + Fe+2 300 然 exp1;FXN + Fe+2 300 然 exp2;BSA + Fe+2 300 然 exp1;BSA + Fe+2 300 然 exp2;;
10.3;-0.386320916;6.164624053;;;;;;
18;11.99152586;7.782273571;;;;;;
28.3;6.427258472;1.966259259;;;;;;
39.5;3.520505125;14.01461319;;;;;;
50.9;23.16679302;29.4136334;;;;;;
65.2;8.611217846;19.04562858;;;;;;
12.1;;;23.14186909;29.87259443;;;;
19.8;;;47.20903908;72.29513953;;;;
29.9;;;81.96857508;89.44974837;;;;
41.4;;;95.05675387;101.6009296;;;;
52.9;;;109.3817827;104.4876189;;;;
67.4;;;95.56146345;93.91145145;;;;
13.9;;;;;10.30916058;2.061562641;;
21.6;;;;;14.77365956;2.151850056;;
31.6;;;;;10.78894624;2.889197278;;
42.9;;;;;-1.856832792;21.32538581;;
55;;;;;-2.180843883;12.90859235;;
69.5;;;;;23.71511948;21.55612032;;
