Wavelength (nm);FXN;ACO2;FXN:ACO2 2.5:1;Sum of FXN and ACO2 spectra;;;;
300;77.84557;118.59597;187.43397;197.84997;;;;
301;86.41359;136.08359;213.30259;223.99259;;;;
302;95.20548;153.78478;239.78178;250.61278;;;;
303;102.78085;171.62585;266.33785;276.00285;;;;
304;111.86115;190.89815;292.19015;304.49315;;;;
305;120.75827;210.98027;321.93727;333.50827;;;;
306;131.69695;230.77895;349.67395;364.25695;;;;
307;142.7035;251.0935;381.3265;395.6785;;;;
308;155.06172;273.55972;412.62972;430.54972;;;;
309;166.86733;294.09633;447.04133;462.99233;;;;
310;181.14919;316.47519;481.92819;499.87319;;;;
311;194.25518;337.82418;516.83518;534.67418;;;;
312;207.98437;359.94837;554.32237;570.94537;;;;
313;222.32709;382.46309;588.87509;608.39809;;;;
314;234.96883;405.84483;621.02683;645.35883;;;;
315;245.97841;428.68141;654.32541;679.52941;;;;
316;257.02228;446.04228;685.11228;708.02628;;;;
317;268.82707;465.14407;713.12007;739.01507;;;;
318;278.61327;483.67627;740.27927;766.85427;;;;
319;287.29216;500.63416;766.89716;791.99116;;;;
320;296.85568;514.49168;789.72768;814.77168;;;;
321;307.09772;529.97272;813.47672;840.25672;;;;
322;316.13025;542.85525;834.60825;861.90825;;;;
323;325.69936;553.11236;853.24436;881.69436;;;;
324;333.48501;564.46601;872.40601;900.78301;;;;
325;341.23734;573.91234;888.34134;917.95434;;;;
326;347.57796;582.40996;901.29496;932.94096;;;;
327;354.33515;586.03815;915.69315;943.21615;;;;
328;361.65527;594.88327;927.15627;959.60127;;;;
329;364.38684;597.62784;934.00684;964.89684;;;;
330;368.49634;599.48134;941.89534;970.88034;;;;
331;372.44405;601.74205;947.45905;977.12805;;;;
332;373.85105;602.58605;948.08505;979.47405;;;;
333;377.40451;600.27751;950.17851;980.69951;;;;
334;374.87872;596.20872;945.26972;974.08572;;;;
335;376.43198;594.56598;945.32298;973.99098;;;;
336;375.15157;591.60557;939.42057;969.67157;;;;
337;376.30678;584.93778;934.10278;964.24678;;;;
338;374.55397;580.20497;928.47397;957.68497;;;;
339;371.55997;573.84497;921.25497;948.28797;;;;
340;369.08574;567.27674;912.93074;939.19574;;;;
341;366.47007;561.83507;902.12207;931.23107;;;;
342;364.3045;551.8795;893.4165;919.0315;;;;
343;361.27819;543.63519;878.19519;907.69819;;;;
344;356.8689;534.8189;866.6069;894.3939;;;;
345;352.92729;525.03029;855.13229;880.77929;;;;
346;349.49351;514.83351;839.15351;867.01851;;;;
347;345.91017;505.67417;825.59817;854.20417;;;;
348;338.73541;495.87041;812.51241;837.17941;;;;
349;333.30016;484.98016;796.40716;820.93316;;;;
350;326.73997;474.65597;778.73497;803.89397;;;;
351;322.10103;462.24603;763.07503;786.80003;;;;
352;317.83053;452.17853;747.03553;772.47953;;;;
353;310.97554;442.04154;732.00454;755.44954;;;;
354;304.79939;432.13739;715.21839;739.23439;;;;
355;298.1046;421.0656;696.9716;721.4906;;;;
356;291.23913;409.08813;679.67413;702.65713;;;;
357;284.30096;396.51996;662.50796;683.11896;;;;
358;277.76226;385.73026;645.68626;665.52626;;;;
359;270.31894;374.59194;627.86894;647.08794;;;;
360;263.6796;363.9986;610.7676;629.7886;;;;
361;258.47999;353.31099;592.87499;613.75799;;;;
362;250.07193;342.66393;574.37393;594.79893;;;;
363;244.83118;330.98418;558.53118;577.75218;;;;
364;236.81474;321.24774;540.42674;559.95674;;;;
365;229.71576;310.62976;524.07176;542.27576;;;;
366;223.06629;297.82029;508.14729;522.70829;;;;
367;216.88028;287.69928;491.91428;506.40328;;;;
368;210.36682;277.22682;474.73382;489.34282;;;;
369;203.84353;266.87353;456.60253;472.36653;;;;
370;195.58272;257.12172;440.88672;454.46472;;;;
371;189.90476;248.45176;426.80576;440.01876;;;;
372;184.12103;238.99903;412.48803;424.71503;;;;
