Wavelength (nm);FXN;ACO2;FXN:ACO2 2.5:1;Sum of FXN and ACO2 spectra;;;;
300;34.38407;29.47817;54.39207;65.27127;;;;
301;38.34019;33.06989;61.83839;72.90549;;;;
302;42.22768;37.34838;68.38648;81.19818;;;;
303;47.41585;41.69645;76.08345;90.70845;;;;
304;51.35385;45.43145;84.81515;98.51915;;;;
305;55.75817;51.02497;93.02257;108.55427;;;;
306;61.35515;56.31135;101.30395;119.44795;;;;
307;67.2835;61.8607;112.3015;131.0255;;;;
308;73.69022;67.45702;122.98772;143.07572;;;;
309;81.09753;73.28983;134.83633;156.41633;;;;
310;88.16869;79.60049;146.77419;170.01819;;;;
311;95.58898;85.79638;158.78218;183.98018;;;;
312;103.41737;92.79387;172.59337;199.22437;;;;
313;111.22709;99.61309;184.44909;214.44809;;;;
314;117.69283;105.37483;196.33683;227.61283;;;;
315;125.05541;111.41341;209.76941;241.33841;;;;
316;132.52128;117.20228;220.85828;254.68528;;;;
317;138.33207;123.58507;231.86507;266.96007;;;;
318;144.64327;129.43027;243.12627;278.63727;;;;
319;151.62516;135.46116;254.24716;291.15116;;;;
320;158.65468;140.20968;263.58068;302.28868;;;;
321;165.58372;145.40172;274.58672;314.17072;;;;
322;171.31625;149.48225;285.67725;323.72125;;;;
323;176.01836;154.32436;292.91236;333.22536;;;;
324;182.89801;157.99801;303.43501;343.72801;;;;
325;187.98834;161.64734;312.84634;352.44034;;;;
326;192.06696;166.60896;320.29496;361.62796;;;;
327;197.08515;169.18615;326.09215;369.11415;;;;
328;201.58027;171.96327;333.16627;376.60627;;;;
329;207.24384;174.25184;337.45384;384.37784;;;;
330;207.07834;175.14234;342.53834;385.12334;;;;
331;210.58105;176.03905;346.14905;389.56305;;;;
332;212.67905;177.47505;349.39005;393.19205;;;;
333;214.27351;177.53051;350.59651;394.82151;;;;
334;215.55972;179.30072;351.28272;397.85872;;;;
335;216.56298;175.96198;352.93498;395.51798;;;;
336;217.77257;177.78457;353.09557;398.47057;;;;
337;217.62378;176.66578;352.51078;397.29278;;;;
338;216.43497;175.44997;352.19497;394.81097;;;;
339;215.56997;174.08797;349.83197;392.54097;;;;
340;214.61474;171.38874;347.40974;388.83674;;;;
341;213.61007;171.34007;344.24107;387.87707;;;;
342;212.8345;168.7645;341.4775;384.4465;;;;
343;210.36019;168.41619;338.36819;381.56219;;;;
344;207.8159;165.5869;335.8889;376.1089;;;;
345;207.31229;161.80729;329.67329;371.94229;;;;
346;203.82651;159.54951;327.29651;366.06951;;;;
347;201.64017;157.37417;322.17717;361.63517;;;;
348;199.62641;153.51341;316.54441;355.71241;;;;
349;195.75316;151.22016;312.34716;349.62616;;;;
350;193.96797;147.90197;305.78397;344.36797;;;;
351;188.75003;143.89103;301.24503;335.09303;;;;
352;186.60053;141.35153;295.20153;330.42253;;;;
353;183.09554;139.28054;288.42754;324.80854;;;;
354;178.35739;135.40339;284.33839;316.05939;;;;
355;174.6616;131.8576;275.4276;308.8406;;;;
356;172.25213;128.46013;269.59213;303.04213;;;;
357;168.08896;125.12796;262.45896;295.51596;;;;
